지점번호,lon,lat
90,128.56473,38.25085
95,127.3042,38.14787
98,127.0607,37.90188
99,126.76648,37.88589
100,128.71834,37.67713
101,127.7357,37.90262
102,124.71237,37.97396
104,128.85535,37.80456
105,128.89099,37.75147
106,129.12433,37.50709
108,126.9658,37.57142
112,126.6249,37.47772
114,127.94659,37.33749
115,130.89863,37.48129
119,126.983,37.25746
121,128.45743,37.18126
127,127.9525,36.97045
129,126.4939,36.77658
130,129.41278,36.99176
131,127.44066,36.63924
133,127.3721,36.37199
135,127.99458,36.22025
136,128.70733,36.57293
137,128.15741,36.40837
138,129.38002,36.03201
140,126.76135,36.0053
143,128.65296,35.87797
146,127.11718,35.84092
152,129.33469,35.58237
155,128.57282,35.17019
156,126.89156,35.17294
159,129.03203,35.10468
162,128.43561,34.84541
165,126.38151,34.81732
168,127.74063,34.73929
169,125.45105,34.68719
170,126.70182,34.3959
172,126.599,35.34824
184,126.52969,33.51411
185,126.16283,33.29382
188,126.8802,33.38677
189,126.5653,33.24616
192,128.04004,35.16378
201,126.44634,37.70739
202,127.49446,37.48863
203,127.48421,37.26399
211,128.16714,38.05986
212,127.88043,37.6836
216,128.98929,37.17038
217,128.6459,37.38149
221,128.19433,37.15928
226,127.73415,36.48761
232,127.29282,36.76217
235,126.55744,36.32724
236,126.92079,36.27242
238,127.48175,36.10563
243,126.71657,35.72961
244,127.28556,35.61203
245,126.83904,35.56337
247,127.39652,35.4213
248,127.52031,35.65696
251,126.697,35.42661
252,126.47784,35.28366
253,128.89075,35.22981
254,127.1286,35.37131
255,128.6726,35.22655
257,129.02009,35.30737
258,127.21226,34.76335
259,126.78408,34.64457
260,126.91951,34.68886
261,126.56907,34.55375
262,127.27572,34.61826
263,128.28812,35.32258
264,127.74538,35.51138
271,128.91449,36.94361
272,128.51687,36.87183
273,128.14879,36.62727
276,129.04005,36.4351
277,129.40926,36.53337
278,128.68864,36.3561
279,128.32055,36.13055
281,128.9514,35.97742
283,129.2009,35.8174
284,127.9099,35.66739
285,128.16994,35.56505
288,128.74412,35.49147
289,127.8791,35.413
294,128.60459,34.88818
295,127.92641,34.81662
