격자 X,격자 Y
73,134
73,135
74,131
72,132
70,130
72,134
71,137
75,136
73,133
71,132
72,133
76,122
74,121
78,124
76,124
75,122
73,119
76,118
76,121
78,121
79,120
77,122
76,123
77,123
92,131
91,134
92,130
94,131
95,129
92,133
92,134
93,132
92,132
93,131
97,127
97,126
96,127
96,126
95,119
94,118
95,117
96,118
87,141
87,140
98,125
96,120
101,119
99,124
94,123
98,123
97,124
98,119
96,123
97,125
75,130
77,131
78,134
79,132
81,130
76,129
73,128
72,129
84,132
77,125
79,125
80,124
81,126
79,127
80,127
77,126
75,125
80,123
86,119
92,118
89,118
88,118
85,120
85,119
83,120
82,121
84,123
86,122
84,124
85,126
84,128
85,128
87,129
89,130
89,123
92,120
89,120
90,121
89,125
92,126
91,123
90,125
65,139
64,141
67,142
67,140
68,141
67,143
69,143
73,143
71,143
75,143
72,139
74,137
71,138
71,140
69,138
77,139
78,139
78,141
76,141
79,143
80,138
79,136
81,139
83,136
81,141
82,134
85,145
85,146
84,147
86,144
87,142
82,146
88,138
87,138
89,137
90,136
